Time,summary,description,start_time,end_time,freq
8:00:00 AM,,,8:00,8:30,
8:30:00 AM,,,8:30,9:00,
9:00:00 AM,Research Open-source workflow mgmt tools,,9:00,9:30,
9:30:00 AM,Create Financial Spreadsheet,,9:30,10:00,
10:00:00 AM,Model DB,,10:00,10:30,
10:30:00 AM,Connect w Exec Rec on LI ,,10:30,11:00,
11:00:00 AM,Call Brokers,,11:00,11:30,
11:30:00 AM,Work on Wheat Lumber,,11:30,12:00,
12:00:00 PM,,,12:00,12:30,
12:30:00 PM,,,12:30,13:00,
1:00:00 PM,,,13:00,13:30,
1:30:00 PM,Create Content for Website,,13:30,14:00,
2:00:00 PM,Design webapp for business acquisition,,14:00,14:30,
2:30:00 PM,,,14:30,15:00,
3:00:00 PM,,,15:00,15:30,
3:30:00 PM,,,15:30,16:00,
4:00:00 PM,,,16:00,16:30,
4:30:00 PM,,,16:30,17:00,
5:00:00 PM,,,17:00,17:30,
5:30:00 PM,,,17:30,18:00,
6:00:00 PM,,,18:00,18:30,
6:30:00 PM,,,18:30,19:00,
7:00:00 PM,,,19:00,19:30,
7:30:00 PM,,,19:30,20:00,
8:00:00 PM,,,20:00,20:30,
8:30:00 PM,,,20:30,21:00,
9:00:00 PM,,,21:00,21:30,
9:30:00 PM,,,21:30,22:00,
10:00:00 PM,,,22:00,22:30,
10:30:00 PM,,,22:30,23:00,
11:00:00 PM,,,23:00,23:30,
11:30:00 PM,,,23:30,0:00,
